,메뉴명,칼로리,설탕,단백질,나트륨,지방,카페인
0,나이트로 바닐라 크림,80,10,1,40,2,232
1,나이트로 콜드 브루,5,0,0,5,0,245
2,돌체 콜드 브루,265,29,8,130,9,150
3,바닐라 크림 콜드 브루,125,11,3,58,6,150
4,벨벳 다크 모카 나이트로,150,17,2,15,6,190
5,시그니처 더 블랙 콜드 브루,25,0,0,50,0,680
6,제주 비자림 콜드 브루,340,43,10,140,8,105
7,콜드 브루,5,0,0,11,0,150
8,콜드 브루 몰트,505,41,7,150,20,190
9,콜드 브루 오트 라떼,120,14,1,95,0.3,65
10,콜드 브루 플로트,225,18,3,70,10,190
11,아이스 커피,5,0,0,10,0,140
12,오늘의 커피,5,0,0,10,0,260
13,에스프레소 콘 파나,30,1,0,0,1.5,75
14,에스프레소 마키아또,10,0,1,0,0,75
15,아이스 카페 아메리카노,10,0,1,5,0,150
16,카페 아메리카노,10,0,1,5,0,150
17,아이스 카라멜 마키아또,190,22,6,110,4.6,75
18,카라멜 마키아또,200,22,8,130,5,75
19,아이스 카푸치노,115,9,6,90,3.5,75
20,카푸치노,110,8,6,70,3,75
21,라벤더 카페 브레베,400,30,8,140,22,105
22,럼 샷 코르타도,70,8,3,45,1.8,160
23,바닐라 빈 라떼,245,27,9,150,6,210
24,사케라또 비안코 오버 아이스,270,14,3,45,18,315
25,스타벅스 돌체 라떼,255,39,12,190,2.6,150
26,아이스 라벤더 카페 브레베,335,27,6,110,18,105
27,아이스 바닐라 빈 라떼,155,20,5,75,2.9,210
28,아이스 스타벅스 돌체 라떼,230,35,10,145,2.5,150
29,아이스 카페 라떼,110,8,6,75,3.5,75
30,카페 라떼,180,13,10,115,5,75
31,아이스 카페 모카,250,21,7,70,8,95
32,아이스 화이트 초콜릿 모카,260,27,7,75,8,75
33,카페 모카,290,25,10,105,9,95
34,화이트 초콜릿 모카,345,35,11,150,11,75
35,바닐라 플랫 화이트,220,23,9,130,5,260
36,라벤더 블론드 스타벅스 더블 샷,150,14,3,40,6,170
37,바닐라 스타벅스 더블 샷,125,14,2,30,4.5,150
38,블론드 바닐라 더블 샷 마키아또,315,31,8,130,12,170
39,사케라또 아포가토,290,30,4,70,10,210
40,스파클링 시트러스 에스프레소,65,15,0,5,0,105
41,아이스 블론드 바닐라 더블 샷 마키아또,195,22,5,65,6,170
42,에스프레소,5,0,0,0,0,75
43,커피 스타벅스 더블 샷,125,14,3,28.5,5,150
44,클래식 아포가토,240,18,4,70,10,210
45,헤이즐넛 스타벅스 더블 샷,125,14,3,28.5,5,150
46,우리 쑥 크림 프라푸치노 with 콜드 브루,330,50,8,400,4.9,55
47,더블 에스프레소 칩 프라푸치노,265,31,4,140,11,130
48,모카 프라푸치노,280,36,5,180,6,90
49,에스프레소 프라푸치노,145,29,2,115,1.1,120
50,자바 칩 프라푸치노,340,42,6,180,9,100
51,카라멜 프라푸치노,300,39,4,190,7,85
52,화이트 초콜릿 모카 프라푸치노,245,38,4,140,6,85
53,바닐라 크림 프라푸치노,200,28,4,150,6,0
54,제주 까망 크림 프라푸치노,600,79,9,330,7,0
55,제주 쑥떡 크림 프라푸치노,460,57,8,250,10,0
56,제주 유기농 말차로 만든 크림 프라푸치노,230,28,5,150,7,60
57,초콜릿 크림 칩 프라푸치노,300,40,6,160,7,10
58,화이트 타이거 프라푸치노,410,57,5,220,14,0
59,쿨 서머 캐모마일 블렌디드,205,37,0,5,0,0
60,망고 패션 프루트 블렌디드,120,25,1,70,0,35
61,딸기 딜라이트 요거트 블렌디드,370,57,9,110,4.3,0
62,레드 파워 스매시 블렌디드,270,49,1,30,0,17
63,망고 바나나 블렌디드,270,48,4,110,1,0
64,민트 초콜릿 칩 블렌디드,455,52,9,190,14,0
65,제주 그린 한라봉 모히또 블렌디드,160,37,0,5,0,0
66,딸기 아사이 레모네이드 스타벅스 리프레셔,105,24,1,0,0,30
67,핑크 드링크 위드 딸기 아사이 스타벅스 리프레셔,100,18,1,40,0,30
