,상품명,가격
0,최상급 통통 활 왕새우 1kg 34-38미 / 14940원 (빅세일20%+수산대전20% 중복 쿠폰가) / 국내산 (충남 태안),"24,900원"
1,비비고 사골곰탕 500g 18개,"21,150원"
2,펩시콜라 제로 라임향 ECO무라벨 300ml 20펫+리유저블컵/탄산음료/펩시제로 사이다/음료수,"18,500원"
3,이쌀이다 21년산 아산 맑은쌀 삼광 10kg,"26,500원"
4,소문난오부자 재래도시락김5g 72봉 / 8월생산 추석선물세트/쿠폰가15840,"19,800원"
5,프레시지 부채살 페퍼 스테이크 190g x 4팩 (쿠폰가 17430원),"24,900원"
6,닥터린 초임계 알티지(rTG) 오메가3 5박스 (5개월분) +질유산균3박스+쇼핑백+경품추첨,"59,900원"
7,햇반솥반 전복내장영양밥X6개+소고기우엉밥X6개+흑미밤찰밥X6개,"43,900원"
8,리챔 오리지널 200g 10캔,"21,900원"
9,(역대급 134P 11820) 베스트셀러 러브 생리대/사은품증정,"18,900원"
10,(요기요) 1만원권,"10,000원"
11,국내산 쫀득 구운계란 30알 x 2판,"15,900원"
12,참드림미 쌀 10kg 2개 단일품종 특등급 쿠폰가 32400원,"53,000원"
13,우듬지팜 산지직송 스테비아 방울토망고 500g x 2팩,"9,900원"
14,과탄산소다 특대용량 7kg / 산소계 표백제,"14,800원"
15,혼합곡 17곡 10kg(5kg+5kg) 2021년산 쿠폰가15920원,"19,900원"
16,김치사발면12개+육개장사발면12개(총24개),"20,900원"
17,홈쇼핑 가을신상/여름시즌OFF 특가 모음전/무료배송,"7,900원"
18,아기물티슈 최종 19920) 미스터펭 시그니처77 캡형 70매 20팩 (77g),"24,900원"
19,(버거킹) 와퍼+불고기와퍼주니어+콜라R2,"7,900원"
20,프레시지 한입 LA 갈비 2.0kg(500g x4팩) (쿠폰가 27930원),"39,900원"
21,동원 라이트 스탠다드 참치 150g 원터치 10개,"21,900원"
22,르샤트라 섬유유연제 피오니부케 1.6LX6개,"27,900원"
23,오뚜기 맛있는 밥 30입(210g10 x 3개),"29,900원"
24,(무료반품)20%+5%중복쿠폰 홈쇼핑 빅사이즈 가을 니트4종세트/팬츠/점퍼/맥코트,"19,900원"
25,호박 찹쌀 약과 40개,"12,500원"
26,수프림소프트 화장지27M30롤x2팩/휴지/화장지,"49,100원"
27,V15 GEN2-82KD000UKR 32만구매 AMD 라이젠 R5-5500U 4GB NVMe256GB 가성비 인기노트북,"464,080원"
28,쓱배송(s)동원참치뉴트로세트,SOLD OUT
29,크리넥스3겹 데코소프트33MX24롤X2팩,"40,000원"
30,베베앙 아기물티슈 시그니처 대용량 100매 캡형 10팩,"12,900원"
31,(신세계경기점)네파키즈/ KIC5951 이지 트레이닝 세트 판매가89000원,"34,050원"
32,비비고 왕교자1.05kg 3개,"28,710원"
33,CJ 햇반 210g 36개 1박스,"38,610원"
34,쿠폰가8940원/순수한면 입는 오버나이트6P x 3팩(18P)+증정 외 생리대,"14,900원"
35,순수PURE천연펄프 25m 30롤 x 3팩 휴지 +상품평 이벤트,"28,900원"
36,독일 프로쉬 식기세척기세제 30개입2+1+굿즈/27920원,"34,900원"
37,제주삼다수 500ml 20병 /생수전문배송,"8,600원"
38,제이프랑 20%+5% 가을신상 티셔츠/팬츠/반팔/셋업,"12,900원"
39,퍼실 딥클린 라벤더 드럼용 1.8L x6개 세탁세제,"60,000원"
40,(최종 15720원) 에너자이저 알카라인 패밀리팩 건전지 AA24입+AAA24입,"20,900원"
41,(버거킹) 타바스코 더블비프+타바스코 몬스터+콜라R2,"9,300원"
42,프리미어 70매 캡 20팩 + 손세정 리필 12팩 (개별배송/2-3주소요),"35,700원"
43,동국제약 국민마데카 빅세일~84%/마데카크림/기미앰플/멀티밤 외 센텔리안24 BEST,"29,900원"
44,춘천 명물 닭갈비 (양념)700g x3팩(총2.1kg)/쿠폰가 14800원+2건이상 추가 금액 할인,"18,500원"
45,튼튼키즈 홍삼 프리미엄 30포 3박스 어린이홍삼 총90포 진세노사이드5mg,"30,900원"
46,아이시스 8.0 300ml 20펫x3묶음(60펫) /생수/휴대용생수/워터,"17,500원"
47,1+1 후라이팬 프라이팬 궁중팬 계란말이팬 골라담기,"19,900원"
48,(20%+10%+상품권)설화수 추석 효도선물세트 자음 윤조,"127,400원"
49,순수 프리미엄 30M 30롤 2팩 +상품평 이벤트,"28,900원"
50,반건조 오징어 5미(250g 내외)/ 쿠폰가10320,"12,900원"
51,써모스 마이 디자인 보틀 원터치 텀블러 JNR-500K,"39,900원"
52,스팸 클래식 200g x9개,"26,910원"
53,코카콜라제로 190ml x 60CAN,"33,900원"
54,(2개세트) 모달 투인원 끈 브라 나시 1+1 브라캡 내장,"15,900원"
55,고창 김민상님의 황토밭 햇 꿀밤고구마 5kg 특상 /14320원 쿠폰가,"17,900원"
56,최종혜택가 47720원) 20+15% 종근당건강 홍삼 녹용 프리미엄 선물세트 30P 3+1세트 덤 /추석선물/한가위선물,"65,900원"
57,매일두유 99.9 190ml 48팩,"26,500원"
58,영어리딩의교과서/실전라이팅의 패턴학습/Sweet Writing/Sweet Reading,"56,500원"
59,글라스락 퍼플에디션 직사각 1100ml_1+1,"11,900원"
60,코카콜라 190ml x 60CAN,"33,900원"
61,부드러운 어린이칫솔 조르단 STEP 2단계 10개,"31,200원"
62,꿈꾸는달팽이_미니 깜찍 팝업북 12권 세트,"78,000원"
63,오리지날 2개 + 후레쉬 2개 + 멀티케어 2개 치약,"25,400원"
64,최종혜택가 60200원) 20+15% 종근당건강 락토핏 5X 생유산균 골드 6통 +추가증정 건강음료 3종,"73,900원"
65,1분 블랙 염색샴푸 500ml + 두피브러쉬(그린) / 새치커버 새치염색 탈모완화 갈변샴푸 흰머리샴푸,"29,900원"
66,아기물티슈 핫딜 19920원 슈퍼대디 고평량 캡형 20팩 랜덤박스,"24,900원"
67,씨투엠에듀 도형학습의 기준 플라토 유치~초등 단계별 선택구매(전4권),"26,120원"
68,오뚜기 맛있는 밥 20입(210g10 x 2개),"20,800원"
69,물티슈 최종 11920) 악어 캡형 100매 20팩 대용량,"14,900원"
70,20%+5% 봄 여름 운동복과 일상복까지 가능한 세트,"10,000원"
71,밥맛좋은 경기미 백미 쌀10kg 21년햅쌀/특등급,"24,900원"
72,브라운 아기물티슈 네이처 마일드 70매 캡형 10+10팩,"32,800원"
73,씨투엠 수백판 교구 + 워크북1/2권,"43,500원"
74,안성탕면 125g 5개입 멀티팩 X 8개 BOX,"24,900원"
75,(무료반품) 쉬블림로브 25%쿠폰 블라우스 원피스 팬츠,"7,900원"
76,한돈 1등급 2cm 구이용 삼겹살(냉동) 400g x 2팩 + 참소스 증정,"22,500원"
77,래피젠 코로나 자가 진단 키트 10T(2개입X5박스) /20% 19120,"21,900원"
78,균일가 남자양말 가을 발목 덧신 중목 장목 스포츠,"6,900원"
79,균일가 남녀 학생 덧신 페이크 발목 양말,"7,900원"
80,스팸 25%라이트 200g x9개,"26,910원"
81,아이오페 스템III 기획세트 외 인기상품 할인,"70,520원"
82,진라면 매운맛 40봉,"22,900원"
83,새우젓(추젓) 2kg(국내산100%/강화도 A급추젓 특가),"16,900원"
84,특허받은 프레시 쥐포 (대) 10장+10장+10장 약720g W/쿠폰가11920,"14,900원"
85,써모스 데일리 원터치 텀블러 JNL-354K / 보온보냉병,"37,900원"
86,타미힐피거 여름 클리어런스 반팔카라티/반바지 50종 모음 (10803316_B),"29,900원"
87,오뚜기 페페로니디아볼라 화덕피자 365g,"10,380원"
88,키친아트 블랙프라이팬 1+1+1 내맘대로 골라담기3P,"31,900원"
89,(8/20~8/24) TO THE NCT UNIVERSE 2022 NCT DREAM EXHIBITION DREAM VIBE Ticket,"26,000원"
90,맥심 모카골드 커피믹스 180T: 18300원 쿠폰가~,"21,900원"
91,풀무원_치즈폭포_셰프클래식토마토_430g,SOLD OUT
92,여성 트리플러스우먼 멀티비타민미네랄 90캡슐 x 2개 + 증정(한정수량),"61,700원"
