순위,제목,가수,앨범명
1,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
2,Hype boy,NewJeans,NewJeans 1st EP 'New Jeans'
3,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집
4,보고싶었어,WSG워너비 (4FIRE),WSG워너비 1집
5,LOVE DIVE,IVE (아이브),LOVE DIVE
6,SNEAKERS,ITZY (있지),CHECKMATE
7,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
8,FOREVER 1,소녀시대 (GIRLS' GENERATION),FOREVER 1 - The 7th Album
9,POP!,나연 (TWICE),IM NAYEON
10,우리들의 블루스,임영웅,IM HERO
11,Cookie,NewJeans,NewJeans 1st EP 'New Jeans'
12,TOMBOY,(여자)아이들,I NEVER DIE
13,That That (prod. & feat. SUGA of BTS),싸이 (PSY),싸다9
14,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자
15,그라데이션,10CM,5.3
16,다시 만날 수 있을까,임영웅,IM HERO
17,나의 X에게,경서,나의 X에게
18,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙)
19,무지개,임영웅,IM HERO
20,Girls,aespa,Girls - The 2nd Mini Album
21,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
22,아버지,임영웅,IM HERO
23,도깨비불 (Illusion),aespa,Girls - The 2nd Mini Album
24,Love story,볼빨간사춘기,Seoul
25,내가 아니라도,주호,내가 아니라도
26,A bientot,임영웅,IM HERO
27,손이 참 곱던 그대,임영웅,IM HERO
28,사랑해 진짜,임영웅,IM HERO
29,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS
30,잠수이별 (Prod. 코드 쿤스트),"우원재, meenoi (미노이)",잠수이별
31,인생찬가,임영웅,IM HERO
32,연애편지,임영웅,IM HERO
33,LOVE me,BE'O (비오),LOVE me
34,사랑역,임영웅,IM HERO
35,보금자리,임영웅,IM HERO
36,사랑해요 그대를,임영웅,IM HERO
37,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
38,취중고백,김민석 (멜로망스),취중고백
39,ELEVEN,IVE (아이브),ELEVEN
40,열이올라요 (Heart Burn),선미,열이올라요 (Heart Burn)
41,해요 (2022),#안녕,해요 (2022)
42,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호)
43,That's Hilarious,Charlie Puth,That's Hilarious
44,Feel My Rhythm,Red Velvet (레드벨벳),‘The ReVe Festival 2022 - Feel My Rhythm’
45,내 기쁨은 너가 벤틀리를 끄는 거야,김승민,PROTOTYPE RESEARCH #0063
46,신호등,이무진,신호등
47,너의 모든 순간,성시경,별에서 온 그대 OST Part.7
48,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, 정국, 방탄소년단",Left and Right (Feat. Jung Kook of BTS)
49,새벽에 걸려온 너의 전화는,한동근,미련을 말하는
50,Clink Clink (클링 클링),WSG워너비 (오아시소),WSG워너비 1집
