순위,제목,가수
1,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO)
2,After LIKE,IVE (아이브)
3,Shut Down,BLACKPINK
4,Hype boy,NewJeans
5,Attention,NewJeans
6,Pink Venom,BLACKPINK
7,Rush Hour (Feat. j-hope of BTS),Crush
8,LOVE DIVE,IVE (아이브)
9,딱 10CM만,"10CM, BIG Naughty (서동현)"
10,사랑은 늘 도망가,임영웅
11,우리들의 블루스,임영웅
12,그때 그 순간 그대로 (그그그),WSG워너비 (가야G)
13,Monologue,테이
14,다시 만날 수 있을까,임영웅
15,Cookie,NewJeans
16,우린 그렇게 사랑해서,"강민경 (다비치), 잔나비 최정훈"
17,FOREVER 1,소녀시대 (GIRLS' GENERATION)
18,자격지심 (Feat. ZICO),BE'O (비오)
19,그라데이션,10CM
20,LAW (Prod. Czaer),"윤미래, 비비 (BIBI)"
21,무지개,임영웅
22,이제 나만 믿어요,임영웅
23,보고싶었어,WSG워너비 (4FIRE)
24,아버지,임영웅
25,TOMBOY,(여자)아이들
26,사랑인가 봐,멜로망스
27,A bientot,임영웅
28,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
29,손이 참 곱던 그대,임영웅
30,사랑해 진짜,임영웅
31,내가 아니라도,주호
32,인생찬가,임영웅
33,SNEAKERS,ITZY (있지)
34,해요 (2022),#안녕
35,나의 X에게,경서
36,연애편지,임영웅
37,That That (prod. & feat. SUGA of BTS),싸이 (PSY)
38,사랑역,임영웅
39,보금자리,임영웅
40,That's Hilarious,Charlie Puth
41,사랑해요 그대를,임영웅
42,ELEVEN,IVE (아이브)
43,내 기쁨은 너가 벤틀리를 끄는 거야,김승민
44,I Don't Think That I Like Her,Charlie Puth
45,FEARLESS,LE SSERAFIM (르세라핌)
46,POP!,나연 (TWICE)
47,취중고백,김민석 (멜로망스)
48,너의 모든 순간,성시경
49,LOVE me,BE'O (비오)
50,도깨비불 (Illusion),aespa
51,Love story,볼빨간사춘기
52,다정히 내 이름을 부르면,"경서예지, 전건호"
53,사랑한다고 말해줘,탑현
54,봄여름가을겨울 (Still Life),BIGBANG (빅뱅)
55,그중에 그대를 만나,김호중
56,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, 정국, 방탄소년단"
57,새벽에 걸려온 너의 전화는,한동근
58,통화연결음,"보라미유, MJ (써니사이드)"
59,스티커 사진,21학번
60,STAY,"The Kid LAROI, Justin Bieber"
61,Dynamite,방탄소년단
62,인생은 뷰티풀,김호중
63,Girls,aespa
64,나의 목소리로,김호중
65,신호등,이무진
66,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
67,Talk that Talk,TWICE (트와이스)
68,DICE,NMIXX
69,주저하는 연인들을 위해,잔나비
70,strawberry moon,아이유
71,밤하늘의 별을(2020),경서
72,Feel My Rhythm,Red Velvet (레드벨벳)
73,사건의 지평선,윤하 (YOUNHA)
74,Butter,방탄소년단
75,드라마,아이유
76,INVU,태연 (TAEYEON)
77,내 손을 잡아,아이유
78,I Ain't Worried,OneRepublic
79,바보에게 바보가 (웹툰 '연애의 발견' X 이석훈),이석훈
80,Next Level,aespa
81,Yet To Come,방탄소년단
82,늦은 밤 헤어지긴 너무 아쉬워,케이시 (Kassy)
83,GANADARA (Feat. 아이유),박재범
84,봄날,방탄소년단
85,질주 (2 Baddies),NCT 127
86,Permission to Dance,방탄소년단
87,Off My Face,Justin Bieber
88,아무래도 난,주시크 (Joosiq)
89,너를 생각해,주시크 (Joosiq)
90,듣고 싶을까,MSG워너비(M.O.M)
91,MY BAG,(여자)아이들
92,Weekend,태연 (TAEYEON)
93,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo
94,SMILEY (Feat. BIBI),YENA (최예나)
95,열이올라요 (Heart Burn),선미
96,주마등,김호중
97,Celebrity,아이유
98,빛이 나는 사람,김호중
99,잠수이별 (Prod. 코드 쿤스트),"우원재, meenoi (미노이)"
100,OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO (파테코)"
