rank,name,rating
1,탑건: 매버릭,9.77
2,명탐정 코난: 할로윈의 신부,9.48
3,범죄도시2,9.36
4,"나, 다니엘 블레이크",9.29
5,극장판 주술회전 0,9.24
6,킹 오브 프리즘,9.18
7,코다,9.12
8,킹 오브 프리즘 프라이드 더 히어로,9.11
9,올드보이,9.04
10,남매의 여름밤,8.96
11,하녀,8.93
12,중경삼림,8.90
13,엘비스,8.86
14,천로역정: 천국을 찾아서,8.86
15,한산: 용의 출현,8.81
16,펄프 픽션,8.77
17,헤어질 결심,8.67
18,헌트,8.48
19,레미제라블,8.39
20,카모메 식당,8.34
21,큐어,8.33
22,애프터 양,8.19
23,우연과 상상,8.18
24,황혼에서 새벽까지,8.08
25,아이 엠 러브,7.85
26,미니언즈2,7.67
27,썸머 필름을 타고!,7.56
28,홀리 모터스,7.46
29,외계+인 1부,7.46
30,비상선언,6.77
31,놉,6.55
32,토르: 러브 앤 썬더,6.49
33,박쥐,6.33
34,브로커,5.53
35,킹 오브 프리즘 -샤이니 세븐 스타즈-,2.19
