,day,name,rating
0,2022-05-10,씽2게더,9.39
1,2022-05-10,극장판 귀멸의 칼날: 무한열차편,9.27
2,2022-05-10,극장판 주술회전 0,9.26
3,2022-05-10,피아니스트의 전설,9.25
4,2022-05-10,벤허,9.23
5,2022-05-10,파수꾼,9.18
6,2022-05-10,코다,9.14
7,2022-05-10,와이키키 브라더스,9.11
8,2022-05-10,피의 연대기,9.09
9,2022-05-10,비긴 어게인,9.04
10,2022-05-10,개를 훔치는 완벽한 방법,9.00
11,2022-05-10,중경삼림,8.90
12,2022-05-10,화양연화,8.81
13,2022-05-10,찬실이는 복도 많지,8.77
14,2022-05-10,바닷마을 다이어리,8.73
15,2022-05-10,귀향,8.67
16,2022-05-10,세자매,8.67
17,2022-05-10,안경,8.64
18,2022-05-10,라라랜드,8.62
19,2022-05-10,공기살인,8.61
20,2022-05-10,나쁜 교육,8.46
21,2022-05-10,아비정전,8.45
22,2022-05-10,드라이브 마이 카,8.42
23,2022-05-10,모가디슈,8.33
24,2022-05-10,신은 죽지 않았다 3: 어둠 속의 빛,8.32
25,2022-05-10,어나더 라운드,8.30
26,2022-05-10,수퍼 소닉2,8.29
27,2022-05-10,언어의 정원,8.18
28,2022-05-10,문라이즈 킹덤,8.12
29,2022-05-10,루이스 웨인: 사랑을 그린 고양이 화가,7.97
30,2022-05-10,날씨의 아이,7.96
31,2022-05-10,한여름의 판타지아,7.80
32,2022-05-10,니 부모 얼굴이 보고 싶다,7.72
33,2022-05-10,스펜서,7.71
34,2022-05-10,미나리,7.57
35,2022-05-10,디어 에반 핸슨,7.46
36,2022-05-10,아사코,7.28
37,2022-05-10,닥터 스트레인지: 대혼돈의 멀티버스,7.26
38,2022-05-10,앵커,7.25
39,2022-05-10,신비한 동물들과 덤블도어의 비밀,6.53
40,2022-05-10,불한당: 나쁜 놈들의 세상,6.50
41,2022-05-10,로스트 시티,6.16
42,2022-05-10,노회찬6411,6.05
43,2022-05-10,서울괴담,4.56
44,2022-05-11,씽2게더,9.39
45,2022-05-11,극장판 귀멸의 칼날: 무한열차편,9.27
46,2022-05-11,극장판 주술회전 0,9.26
47,2022-05-11,피아니스트의 전설,9.25
48,2022-05-11,벤허,9.23
49,2022-05-11,코다,9.14
50,2022-05-11,피의 연대기,9.09
51,2022-05-11,비긴 어게인,9.04
52,2022-05-11,중경삼림,8.90
53,2022-05-11,화양연화,8.81
54,2022-05-11,찬실이는 복도 많지,8.77
55,2022-05-11,바닷마을 다이어리,8.73
56,2022-05-11,귀향,8.67
57,2022-05-11,배드 가이즈,8.67
58,2022-05-11,세자매,8.67
59,2022-05-11,안경,8.64
60,2022-05-11,라라랜드,8.62
61,2022-05-11,공기살인,8.60
62,2022-05-11,나쁜 교육,8.46
63,2022-05-11,아비정전,8.45
64,2022-05-11,드라이브 마이 카,8.41
65,2022-05-11,모가디슈,8.33
66,2022-05-11,신은 죽지 않았다 3: 어둠 속의 빛,8.32
67,2022-05-11,어나더 라운드,8.30
68,2022-05-11,수퍼 소닉2,8.29
69,2022-05-11,이상한 나라의 수학자,8.25
70,2022-05-11,빅 아이즈,8.21
71,2022-05-11,언어의 정원,8.18
72,2022-05-11,문라이즈 킹덤,8.12
73,2022-05-11,루이스 웨인: 사랑을 그린 고양이 화가,7.97
74,2022-05-11,날씨의 아이,7.96
75,2022-05-11,한여름의 판타지아,7.80
76,2022-05-11,니 부모 얼굴이 보고 싶다,7.72
77,2022-05-11,스펜서,7.71
78,2022-05-11,봄날,7.69
79,2022-05-11,미나리,7.57
80,2022-05-11,디어 에반 핸슨,7.46
81,2022-05-11,아사코,7.28
82,2022-05-11,닥터 스트레인지: 대혼돈의 멀티버스,7.26
83,2022-05-11,앵커,7.22
84,2022-05-11,신비한 동물들과 덤블도어의 비밀,6.55
85,2022-05-11,불한당: 나쁜 놈들의 세상,6.50
86,2022-05-11,로스트 시티,6.17
87,2022-05-11,노회찬6411,6.05
88,2022-05-11,서울괴담,4.58
89,2022-05-12,씽2게더,9.39
90,2022-05-12,극장판 귀멸의 칼날: 무한열차편,9.27
91,2022-05-12,극장판 주술회전 0,9.26
92,2022-05-12,피아니스트의 전설,9.25
93,2022-05-12,벤허,9.23
94,2022-05-12,코다,9.14
95,2022-05-12,피의 연대기,9.09
96,2022-05-12,비긴 어게인,9.04
97,2022-05-12,중경삼림,8.90
98,2022-05-12,화양연화,8.81
99,2022-05-12,찬실이는 복도 많지,8.77
100,2022-05-12,바닷마을 다이어리,8.73
101,2022-05-12,귀향,8.67
102,2022-05-12,세자매,8.67
103,2022-05-12,안경,8.64
104,2022-05-12,배드 가이즈,8.63
105,2022-05-12,라라랜드,8.62
106,2022-05-12,공기살인,8.61
107,2022-05-12,나쁜 교육,8.46
108,2022-05-12,아비정전,8.45
109,2022-05-12,드라이브 마이 카,8.41
110,2022-05-12,모가디슈,8.33
111,2022-05-12,신은 죽지 않았다 3: 어둠 속의 빛,8.32
112,2022-05-12,수퍼 소닉2,8.28
113,2022-05-12,빅 아이즈,8.21
114,2022-05-12,언어의 정원,8.18
115,2022-05-12,문라이즈 킹덤,8.12
116,2022-05-12,루이스 웨인: 사랑을 그린 고양이 화가,7.97
117,2022-05-12,날씨의 아이,7.96
118,2022-05-12,한여름의 판타지아,7.80
119,2022-05-12,니 부모 얼굴이 보고 싶다,7.72
120,2022-05-12,스펜서,7.71
121,2022-05-12,봄날,7.68
122,2022-05-12,미나리,7.57
123,2022-05-12,디어 에반 핸슨,7.46
124,2022-05-12,아사코,7.28
125,2022-05-12,닥터 스트레인지: 대혼돈의 멀티버스,7.28
126,2022-05-12,앵커,7.19
127,2022-05-12,신비한 동물들과 덤블도어의 비밀,6.55
128,2022-05-12,불한당: 나쁜 놈들의 세상,6.50
129,2022-05-12,로스트 시티,6.16
130,2022-05-12,노회찬6411,6.05
131,2022-05-12,서울괴담,4.55
132,2022-05-13,씽2게더,9.39
133,2022-05-13,극장판 귀멸의 칼날: 무한열차편,9.27
134,2022-05-13,극장판 주술회전 0,9.26
135,2022-05-13,피아니스트의 전설,9.25
136,2022-05-13,벤허,9.23
